# wavelength (microns)  nu*I_nu (nW/m2/sr)
8.239267797682695  1.1567644844586815
8.978271613207227  1.437526693768645
10.210009018079921  1.7446333839797767
11.68247648493354  2.175698665508752
17.48858107312607  3.0320891887468013
20.00219054865442  3.095138843923634
29.921134937238495  3.058144888291456
34.22375976936506  3.212757910737202
39.15006556906211  3.581736437763682
44.787959022475135  4.09772539196192
51.24215541036505  4.880525308249174
58.63027819554625  5.993826761719544
76.66905647963615  8.572756069933726
87.81887541615826  10.891704534455457
110.20072537732973  14.191477166823637
125.19313150858589  14.76561669979594
143.1901907064786  15.232332352683999
165.78118982297377  15.526402111172647
192.67351693130627  14.178842625016802
216.74614985710016  12.629492820916663
246.32576991344968  11.397444561955323
275.1853593794977  9.19480788021229
316.05668413852277  7.389558427809775
379.24804093526063  5.084561294875866
412.86439932990015  4.018370315844998
460.5651540003774  3.1717970967182647
485.6039960021713  2.425774256395888
518.4157444130313  1.9772161032284674
569.3694773657714  1.5691509454415786
612.3142830002573  1.23540657815092
658.4858528468417  0.964142481301839
703.8515394580334  0.7628373626058289
775.7502680209473  0.6406722307295264
826.4806294579748  0.5086271528817461
860.5789554552462  0.3371348516650688
952.6185025493108  0.24057870455894037
1012.0398304090199  0.18915233492385197
1068.6796911320766  0.15221051192503424
1156.1547969563246  0.11209715396432535
23.13586655197146  3.0837824102059157
26.947388271410667  3.055971470567983
13.463016825972076  2.76682018244479

