1.050000000000000000e+03 1.667000000000000000e+03 3.923832631695205464e+02
1.667000000000000000e+03 2.540000000000000000e+03 4.851844452666482539e+02
2.540000000000000000e+03 4.064000000000000000e+03 1.268077110632534641e+02
4.064000000000000000e+03 9.000000000000000000e+03 1.396418846574365347e+01
9.000000000000000000e+03 1.810000000000000000e+04 6.112716534160707482e+00
1.810000000000000000e+04 4.550000000000000000e+04 8.770386482869076517e+00
4.550000000000000000e+04 7.021500000000000000e+04 2.779967551360057465e-01
7.021500000000000000e+04 1.094900000000000000e+05 5.255657773732380633e-01
1.094900000000000000e+05 1.760000000000000000e+05 0.000000000000000000e+00
1.760000000000000000e+05 3.000000000000000000e+05 0.000000000000000000e+00
