#G1           G2             G3             W2            W3
0.1454        -0.4152        -0.9992        0.2335        4.9778e-03
0.1281        -0.4160        -0.9929        0.2345        5.0210e-03
0.1460        -0.4257        -1.0000        0.2335        5.0341e-03
0.1730        -0.4291        -1.0000        0.2332        5.0428e-03
0.1696        -0.4075        -0.9989        0.2409        5.0151e-03
0.1351        -0.4161        -0.9305        0.2383        5.0262e-03
0.1590        -0.4127        -0.9363        0.2402        5.0017e-03
0.1501        -0.4157        -0.9297        0.2400        5.0100e-03
0.1438        -0.4173        -0.9629        0.2404        4.9849e-03
0.1211        -0.3975        -0.8699        0.2393        4.9975e-03
0.1173        -0.4055        -0.8857        0.2403        5.0117e-03
0.1162        -0.4067        -0.8757        0.2375        5.0120e-03
0.1256        -0.4360        -0.9549        0.2322        5.0092e-03
0.1150        -0.4305        -0.8591        0.2298        5.0013e-03
0.1769        -0.3579        -0.9296        0.2753        5.0142e-03
0.1565        -0.3675        -0.8995        0.2687        4.9966e-03
0.1713        -0.3592        -0.8588        0.2686        5.0096e-03
0.1564        -0.3520        -0.7910        0.2685        4.9967e-03
0.1579        -0.3527        -0.8050        0.2723        4.9947e-03
0.1610        -0.3575        -0.8768        0.2699        4.9962e-03
0.1330        -0.3643        -0.8555        0.2602        5.0125e-03
0.1606        -0.3645        -0.8677        0.2597        5.0021e-03
0.1504        -0.3742        -0.8688        0.2573        4.9927e-03
0.1600        -0.3770        -0.8026        0.2596        5.0085e-03
0.1656        -0.3698        -0.7360        0.2611        4.9928e-03
0.1632        -0.3798        -0.8677        0.2562        4.9792e-03
0.1608        -0.3837        -0.7704        0.2508        4.9952e-03
0.1551        -0.3744        -0.7492        0.2560        5.0031e-03
0.1310        -0.3779        -0.7979        0.2553        5.0032e-03
0.1260        -0.3844        -0.8407        0.2495        5.0101e-03
0.1308        -0.3773        -0.8102        0.2502        5.0079e-03
0.1217        -0.3903        -0.7939        0.2434        4.9864e-03
0.0965        -0.3895        -0.8896        0.2438        5.0149e-03
0.0984        -0.3968        -0.8822        0.2453        5.0074e-03
0.1001        -0.3980        -0.8736        0.2444        5.0051e-03
0.0877        -0.3949        -0.8289        0.2421        5.0076e-03
0.0998        -0.3813        -0.7428        0.2413        4.9961e-03
0.0968        -0.3896        -1.0000        0.2373        4.9844e-03
0.0916        -0.3866        -0.8302        0.2287        5.0090e-03
0.0869        -0.3821        -0.7885        0.2280        5.0048e-03
0.0693        -0.3728        -0.7735        0.2266        5.0034e-03
0.0933        -0.3962        -0.8721        0.2240        5.0153e-03
0.1010        -0.4203        -0.8351        0.2147        4.9926e-03
0.1076        -0.4234        -0.8668        0.2148        4.9959e-03
0.1184        -0.4215        -0.8516        0.2146        5.0008e-03
0.1359        -0.4120        -0.7924        0.2181        5.0124e-03
0.1549        -0.4161        -0.9330        0.2218        4.9892e-03
0.1594        -0.4134        -0.9513        0.2272        4.9886e-03
0.1717        -0.4270        -0.9865        0.2318        5.0071e-03
0.1754        -0.4160        -0.9974        0.2361        5.0169e-03
0.1858        -0.3842        -0.9903        0.2416        5.0380e-03
0.1840        -0.3873        -1.0000        0.2409        5.0218e-03
0.1719        -0.3928        -0.9870        0.2383        5.0044e-03
0.1598        -0.4283        -0.9715        0.2319        5.0035e-03
0.1573        -0.4267        -1.0000        0.2341        5.0156e-03
0.1492        -0.4143        -0.9741        0.2375        5.0092e-03
0.1618        -0.4020        -0.9709        0.2375        5.0027e-03
0.1683        -0.3951        -0.9371        0.2390        5.0229e-03
0.1736        -0.3928        -0.9689        0.2511        5.0138e-03
0.1747        -0.3961        -0.9313        0.2484        5.0261e-03
0.1856        -0.3949        -0.9673        0.2563        5.0170e-03
0.1714        -0.3914        -0.9666        0.2584        5.0083e-03
0.1540        -0.3965        -0.9981        0.2580        4.9877e-03
0.1619        -0.3900        -0.9473        0.2546        5.0342e-03
0.1539        -0.3956        -0.9669        0.2539        5.0230e-03
0.1583        -0.3959        -0.9596        0.2576        5.0063e-03
0.1561        -0.4157        -1.0000        0.2525        5.0369e-03
0.1560        -0.3900        -0.8819        0.2578        5.0047e-03
0.1483        -0.3969        -0.8905        0.2555        5.0107e-03
0.1499        -0.3978        -0.8949        0.2570        4.9927e-03
0.1323        -0.3914        -0.8156        0.2547        5.0078e-03
0.1543        -0.3913        -0.8276        0.2553        4.9976e-03
0.1559        -0.3895        -0.8136        0.2570        4.9965e-03
0.1540        -0.3919        -0.8141        0.2551        5.0019e-03
0.1749        -0.3903        -0.7977        0.2594        5.0043e-03
0.1870        -0.3959        -0.8340        0.2563        4.9966e-03
0.1860        -0.3959        -0.8627        0.2584        5.0126e-03
0.1711        -0.3832        -0.7507        0.2602        5.0099e-03
0.1652        -0.3836        -0.8396        0.2623        5.0081e-03
0.1532        -0.3893        -0.8617        0.2547        5.0028e-03
0.1523        -0.4084        -0.8261        0.2482        4.9918e-03
0.1379        -0.3914        -0.8182        0.2513        5.0108e-03
0.1515        -0.4020        -0.8726        0.2466        5.0100e-03
0.1733        -0.3919        -0.6193        0.2442        4.9976e-03
0.1638        -0.3989        -0.8764        0.2472        4.9873e-03
0.1388        -0.3938        -0.7964        0.2438        5.0035e-03
0.1574        -0.4049        -0.8582        0.2473        5.0122e-03
0.1366        -0.3900        -0.8127        0.2464        5.0197e-03
0.1141        -0.3933        -0.7830        0.2415        5.0000e-03
0.1047        -0.3901        -0.9342        0.2369        4.9993e-03
0.1097        -0.3943        -0.8583        0.2343        4.9990e-03
0.1122        -0.3890        -0.8205        0.2374        4.9993e-03
0.0972        -0.4121        -0.8066        0.2264        4.9962e-03
0.1028        -0.4200        -0.8478        0.2281        5.0068e-03
0.1124        -0.4255        -0.8432        0.2246        4.9940e-03
0.1093        -0.3981        -0.9034        0.2249        5.0051e-03
0.1174        -0.4233        -0.9646        0.2191        5.0076e-03
0.1310        -0.4305        -0.9846        0.2183        5.0084e-03
0.1460        -0.4161        -1.0000        0.2256        5.0163e-03
0.1396        -0.4217        -1.0000        0.2207        5.0290e-03
0.1446        -0.4233        -0.9522        0.2215        4.9926e-03
0.1368        -0.4191        -0.9260        0.2196        5.0115e-03
0.1305        -0.4190        -0.8252        0.2155        4.9940e-03
0.1312        -0.4281        -0.9347        0.2179        4.9852e-03
0.1401        -0.4144        -0.9005        0.2211        4.9929e-03
0.1430        -0.4183        -0.9455        0.2235        5.0153e-03
0.1492        -0.4188        -0.9397        0.2215        5.0065e-03
0.1329        -0.4153        -0.9476        0.2193        5.0090e-03
0.1294        -0.4198        -0.9794        0.2222        4.9865e-03
0.1390        -0.4245        -0.9947        0.2230        5.0193e-03
0.1262        -0.4365        -0.9228        0.2186        5.0092e-03
0.1310        -0.4327        -0.9519        0.2230        4.9972e-03
0.1172        -0.4164        -0.9151        0.2260        5.0015e-03
0.1090        -0.4139        -0.8744        0.2285        5.0059e-03
0.0956        -0.4208        -0.8288        0.2214        5.0024e-03
0.1083        -0.4194        -0.8141        0.2241        4.9996e-03
0.1205        -0.4165        -0.8184        0.2284        5.0179e-03
0.1054        -0.4047        -0.7936        0.2251        5.0039e-03
0.1107        -0.4194        -0.8765        0.2245        5.0161e-03
0.1064        -0.4235        -0.7350        0.2196        4.9983e-03
