#G1           G2             G3             W2            W3
0.0815        -0.5035        -0.9996        0.1754        5.0373e-03
0.0734        -0.5022        -0.9825        0.1719        4.9989e-03
0.0838        -0.4910        -0.9666        0.1700        5.0155e-03
0.0845        -0.4862        -0.9392        0.1696        4.9924e-03
0.1119        -0.4581        -0.9848        0.1724        5.0070e-03
0.1069        -0.4650        -0.9676        0.1737        4.9934e-03
0.1258        -0.4418        -1.0000        0.1843        5.0378e-03
0.1024        -0.4490        -0.9282        0.1821        4.9914e-03
0.1022        -0.4186        -0.7880        0.1805        5.0429e-03
0.0830        -0.4407        -0.8155        0.1714        4.9924e-03
0.0697        -0.4316        -0.8541        0.1749        5.0056e-03
0.0787        -0.4596        -0.9135        0.1747        4.9844e-03
0.0564        -0.4618        -0.8669        0.1673        4.9992e-03
0.0669        -0.4689        -0.7820        0.1639        5.0057e-03
0.0773        -0.4627        -0.7507        0.1674        4.9986e-03
0.0714        -0.4725        -0.7495        0.1639        4.9982e-03
0.1206        -0.4561        -0.9410        0.2032        5.0155e-03
0.1158        -0.4485        -0.9379        0.2074        5.0056e-03
0.1141        -0.4345        -0.9301        0.2081        4.9970e-03
0.1085        -0.4237        -0.8784        0.2039        5.0019e-03
0.0935        -0.4323        -0.8111        0.1937        4.9953e-03
0.1026        -0.4363        -0.8493        0.1961        4.9994e-03
0.0804        -0.4405        -0.9214        0.1922        4.9946e-03
0.0926        -0.4572        -0.9443        0.1920        4.9975e-03
0.0837        -0.4592        -0.8409        0.1842        5.0058e-03
0.0893        -0.4449        -0.7811        0.1857        5.0031e-03
0.1017        -0.4564        -0.8483        0.1888        4.9934e-03
0.1245        -0.4427        -0.8373        0.1903        4.9921e-03
0.1408        -0.4350        -0.8216        0.1963        5.0151e-03
0.1418        -0.4282        -0.8204        0.1992        4.9972e-03
0.1362        -0.4219        -0.7835        0.1993        5.0042e-03
0.1217        -0.4286        -0.8337        0.1991        4.9881e-03
0.1284        -0.4309        -0.9005        0.2001        4.9904e-03
0.1396        -0.4336        -0.9522        0.2071        4.9998e-03
0.1313        -0.4313        -0.9785        0.2080        4.9922e-03
0.1370        -0.4189        -0.9571        0.2140        4.9960e-03
0.1496        -0.4283        -0.9853        0.2128        5.0147e-03
0.1317        -0.4027        -0.8895        0.2145        5.0173e-03
0.1473        -0.4169        -0.9068        0.2144        4.9796e-03
0.1430        -0.4180        -0.8487        0.2100        4.9957e-03
0.1602        -0.4130        -1.0000        0.2184        5.0077e-03
0.1541        -0.3978        -0.9598        0.2190        4.9986e-03
0.1550        -0.4224        -0.8660        0.2129        5.0060e-03
0.1486        -0.4328        -0.9069        0.2118        5.0081e-03
0.1521        -0.4070        -0.8590        0.2153        5.0111e-03
0.1495        -0.4218        -0.9061        0.2183        4.9838e-03
0.1220        -0.4425        -0.8271        0.2057        4.9932e-03
0.1207        -0.4500        -0.8488        0.2045        5.0030e-03
0.1159        -0.4467        -0.8531        0.2045        5.0144e-03
0.1199        -0.4495        -0.8808        0.2055        4.9919e-03
0.1132        -0.4429        -0.8694        0.2000        5.0080e-03
0.1025        -0.4213        -0.7579        0.2022        5.0094e-03
0.1356        -0.4250        -0.6834        0.2064        4.9913e-03
0.1575        -0.3999        -0.7203        0.2149        4.9976e-03
0.1170        -0.4134        -0.8748        0.2153        4.9862e-03
0.1455        -0.4334        -0.9290        0.2146        5.0110e-03
0.1430        -0.4005        -0.7645        0.2178        4.9966e-03
0.1314        -0.3907        -0.6770        0.2215        4.9960e-03
0.1314        -0.4137        -0.9123        0.2256        4.9850e-03
0.1118        -0.4044        -0.8454        0.2246        5.0115e-03
0.0969        -0.3985        -0.8075        0.2213        5.0152e-03
0.1000        -0.4016        -0.8064        0.2209        5.0065e-03
0.1083        -0.4136        -0.8733        0.2168        5.0098e-03
0.1228        -0.4059        -0.9569        0.2213        5.0029e-03
0.1335        -0.4114        -0.9839        0.2235        4.9912e-03
0.1098        -0.4096        -0.8489        0.2152        5.0214e-03
0.1074        -0.4124        -0.9281        0.2175        4.9814e-03
0.0947        -0.4377        -0.8927        0.2102        4.9798e-03
0.1081        -0.4432        -0.9027        0.2104        5.0160e-03
0.1236        -0.4499        -0.9402        0.2096        5.0168e-03
0.1251        -0.4628        -0.9809        0.2106        5.0255e-03
0.1265        -0.4779        -1.0000        0.2061        5.0541e-03
0.1051        -0.4704        -0.9987        0.2037        5.0209e-03
0.1254        -0.4566        -1.0000        0.2118        5.0050e-03
0.1301        -0.4600        -1.0000        0.2128        5.0321e-03
0.1392        -0.4537        -1.0000        0.2203        5.0153e-03
0.1511        -0.4432        -0.9972        0.2239        5.0158e-03
0.1460        -0.4480        -0.9922        0.2243        5.0031e-03
0.1280        -0.4317        -0.9574        0.2259        5.0233e-03
0.1319        -0.4283        -0.9364        0.2251        5.0201e-03
0.1263        -0.4357        -0.9587        0.2257        5.0162e-03
0.1374        -0.4144        -0.9795        0.2346        5.0190e-03
0.1451        -0.4173        -0.9701        0.2329        4.9838e-03
0.1357        -0.4082        -0.9487        0.2325        4.9986e-03
0.1306        -0.3910        -0.8748        0.2329        5.0293e-03
0.1370        -0.3835        -0.8319        0.2344        4.9885e-03
0.1477        -0.3838        -0.8648        0.2356        5.0082e-03
0.1465        -0.3923        -0.8896        0.2330        5.0052e-03
0.1562        -0.3957        -0.9005        0.2296        5.0073e-03
0.1335        -0.4007        -0.9067        0.2276        5.0099e-03
0.1485        -0.4197        -0.9490        0.2281        5.0153e-03
0.1591        -0.4260        -1.0000        0.2282        5.0238e-03
0.1769        -0.4115        -1.0000        0.2360        5.0174e-03
0.1723        -0.4354        -0.9862        0.2346        5.0192e-03
0.1709        -0.4228        -0.9798        0.2363        5.0066e-03
0.1760        -0.4239        -0.9488        0.2381        4.9792e-03
0.1632        -0.4244        -0.9555        0.2397        5.0227e-03
0.1709        -0.4300        -1.0000        0.2441        5.0267e-03
0.1644        -0.4184        -0.9528        0.2440        5.0169e-03
0.1746        -0.4046        -0.9592        0.2560        5.0238e-03
0.1577        -0.4056        -0.9648        0.2552        5.0206e-03
0.1592        -0.4054        -0.9754        0.2564        5.0290e-03
0.1682        -0.4077        -0.9855        0.2571        5.0124e-03
0.1508        -0.3949        -0.9259        0.2609        5.0361e-03
0.1512        -0.4023        -0.9333        0.2635        5.0015e-03
0.1626        -0.3921        -0.9127        0.2628        5.0068e-03
0.1625        -0.3842        -0.8645        0.2690        5.0162e-03
0.1754        -0.3887        -0.8924        0.2698        5.0114e-03
0.1636        -0.3929        -0.8740        0.2681        5.0113e-03
0.1651        -0.3797        -0.8253        0.2719        5.0171e-03
0.1799        -0.3835        -0.8728        0.2733        4.9840e-03
0.1959        -0.3749        -0.7789        0.2757        5.0069e-03
0.1963        -0.3711        -0.8130        0.2766        5.0018e-03
0.1923        -0.3704        -0.8200        0.2750        5.0041e-03
0.1865        -0.3676        -0.7433        0.2727        4.9912e-03
0.1889        -0.3604        -0.5868        0.2771        4.9926e-03
0.1750        -0.3542        -0.8255        0.2821        5.0209e-03
0.1642        -0.3572        -0.8286        0.2796        5.0128e-03
0.1517        -0.3534        -0.7986        0.2777        4.9995e-03
0.1252        -0.3558        -0.8768        0.2756        5.0156e-03
0.1159        -0.3486        -0.7782        0.2783        4.9969e-03
0.1183        -0.3544        -0.8144        0.2726        5.0127e-03
0.1341        -0.3499        -0.8126        0.2728        5.0218e-03
0.1104        -0.3480        -0.8119        0.2750        5.0162e-03
0.0976        -0.3403        -0.8148        0.2745        5.0293e-03
0.1138        -0.3689        -0.9295        0.2711        4.9929e-03
0.1212        -0.3821        -0.8766        0.2617        5.0041e-03
0.1432        -0.3850        -0.8757        0.2637        5.0080e-03
0.1645        -0.3917        -0.9095        0.2594        5.0057e-03
0.1484        -0.3958        -0.9480        0.2550        5.0014e-03
0.1450        -0.3971        -0.9339        0.2505        4.9986e-03
0.1416        -0.3895        -0.8903        0.2510        5.0030e-03
0.1449        -0.3967        -0.9213        0.2490        5.0148e-03
0.1355        -0.3884        -0.8747        0.2436        5.0131e-03
0.1278        -0.3895        -0.8603        0.2426        5.0068e-03
0.1201        -0.4037        -0.8723        0.2380        4.9820e-03
0.1391        -0.3960        -0.8842        0.2416        4.9884e-03
