1.050000000000000000e+03 1.667000000000000000e+03 3.935854619903511775e+02
1.667000000000000000e+03 2.540000000000000000e+03 8.299264481351817722e+02
2.540000000000000000e+03 4.064000000000000000e+03 3.636738053676588152e+02
4.064000000000000000e+03 9.000000000000000000e+03 8.236874699950779188e+01
9.000000000000000000e+03 1.810000000000000000e+04 6.981239147517033672e+00
1.810000000000000000e+04 4.550000000000000000e+04 1.007751850083518441e+01
4.550000000000000000e+04 7.021500000000000000e+04 5.132120777337485507e-01
7.021500000000000000e+04 1.094900000000000000e+05 1.608916448001661781e+00
1.094900000000000000e+05 1.760000000000000000e+05 0.000000000000000000e+00
1.760000000000000000e+05 3.000000000000000000e+05 0.000000000000000000e+00
