  5.21309998712442e+04 -1.92924437275530e+04  1.89589597900488e+04  1.87321616132842e+04 -1.95087612759402e+04
  5.21347281046878e+04 -1.92923404024983e+04  1.89597659422942e+04  1.87324589564373e+04 -1.95086772423590e+04
  5.21384563382441e+04 -1.92923847154786e+04  1.89603621819507e+04  1.87327004084187e+04 -1.95081503857155e+04
  5.21421845719525e+04 -1.92921647308599e+04  1.89611154145024e+04  1.87332912930687e+04 -1.95076777983619e+04
  5.21459128054655e+04 -1.92922367845062e+04  1.89618119922976e+04  1.87325857872258e+04 -1.95079091114336e+04
  5.21496410384886e+04 -1.92922367845062e+04  1.89618119922976e+04  1.87325857872258e+04 -1.95079091114336e+04
  5.21533692710499e+04 -1.92920974042798e+04  1.89623021190673e+04  1.87327097407947e+04 -1.95070393837015e+04
  5.21570975034480e+04 -1.92918941907965e+04  1.89625043452770e+04  1.87328630115073e+04 -1.95066688595428e+04
  5.21608257388101e+04 -1.92918439654238e+04  1.89629571472349e+04  1.87326130112507e+04 -1.95067726886921e+04
  5.21666250005311e+04 -1.92918439654238e+04  1.89629571472349e+04  1.87326130112507e+04 -1.95067726886921e+04
  5.21673750004977e+04 -1.92919197180465e+04  1.89635340447326e+04  1.87334612646526e+04 -1.95057708737066e+04
  5.21711032361123e+04 -1.92917700593950e+04  1.89641872164333e+04  1.87327447892033e+04 -1.95061870592829e+04
  5.21748314705902e+04 -1.92917700593950e+04  1.89641872164333e+04  1.87327447892033e+04 -1.95061870592829e+04
  5.21785597052801e+04 -1.92919623868428e+04  1.89645834376373e+04  1.87326160878692e+04 -1.95059404446312e+04
  5.21822879417800e+04 -1.92914627588362e+04  1.89644452627869e+04  1.87327678519458e+04 -1.95056466318838e+04
  5.21860161770762e+04 -1.92913066030902e+04  1.89648271083270e+04  1.87328837239835e+04 -1.95052165444734e+04
  5.21897444126146e+04 -1.92914850912163e+04  1.89651320663120e+04  1.87322446715666e+04 -1.95054930061116e+04
  5.21934726508287e+04 -1.92912282552147e+04  1.89651581538961e+04  1.87326233046850e+04 -1.95050831047314e+04
  5.21972008871654e+04 -1.92909895998228e+04  1.89651501912837e+04  1.87322688069174e+04 -1.95052210466699e+04
  5.22009291248667e+04 -1.92909310048596e+04  1.89652757015183e+04  1.87326141917803e+04 -1.95050221490082e+04
  5.22046573620418e+04 -1.92910146012601e+04  1.89655262313253e+04  1.87321369589815e+04 -1.95051929566010e+04
  5.22083856009492e+04 -1.92909596007994e+04  1.89655607782053e+04  1.87323128716114e+04 -1.95048747992353e+04
  5.22121138397650e+04 -1.92908423785917e+04  1.89656564666024e+04  1.87319563906992e+04 -1.95050445611541e+04
  5.22186875000291e+04 -1.92908423785917e+04  1.89656564666024e+04  1.87319563906992e+04 -1.95050445611541e+04
  5.22200000003866e+04 -1.92908423785917e+04  1.89656564666024e+04  1.87319563906992e+04 -1.95050445611541e+04
  5.22237282384665e+04 -1.92909628650420e+04  1.89660716951133e+04  1.87319656435275e+04 -1.95048057949898e+04
  5.22274564790914e+04 -1.92911259567257e+04  1.89659332422917e+04  1.87316009986391e+04 -1.95049405460237e+04
  5.22311847183681e+04 -1.92910282336052e+04  1.89657767911422e+04  1.87315327260481e+04 -1.95047256932433e+04
  5.22349129592338e+04 -1.92910282336052e+04  1.89657767911422e+04  1.87315327260481e+04 -1.95047256932433e+04
  5.22386411994585e+04 -1.92911948507357e+04  1.89659221399785e+04  1.87310359667391e+04 -1.95048467489445e+04
  5.22423694396595e+04 -1.92909694517493e+04  1.89659665376806e+04  1.87312657426417e+04 -1.95045556820883e+04
  5.22460976815904e+04 -1.92908308262087e+04  1.89659961815160e+04  1.87309330721686e+04 -1.95047284650206e+04
  5.22498259227721e+04 -1.92910983203841e+04  1.89659704926895e+04  1.87311013656699e+04 -1.95045195483115e+04
  5.22535541654237e+04 -1.92911210368202e+04  1.89663892381575e+04  1.87309538358382e+04 -1.95044212155189e+04
  5.22572824069863e+04 -1.92909801698942e+04  1.89659912231246e+04  1.87306962845057e+04 -1.95045199408148e+04
  5.22610106485685e+04 -1.92910254279086e+04  1.89660142403127e+04  1.87304142269503e+04 -1.95046151909342e+04
  5.22647388921238e+04 -1.92910433651850e+04  1.89662850054074e+04  1.87302363279174e+04 -1.95046255937822e+04
  5.22684671344480e+04 -1.92909894669912e+04  1.89660200485305e+04  1.87303027440451e+04 -1.95045280589455e+04
  5.22721953767513e+04 -1.92910680558300e+04  1.89662321956399e+04  1.87303417447506e+04 -1.95043496473606e+04
  5.22759236210716e+04 -1.92911438485474e+04  1.89660175731430e+04  1.87297615714116e+04 -1.95046546817684e+04
  5.22796518640708e+04 -1.92913587336183e+04  1.89660254740205e+04  1.87298791509763e+04 -1.95043964323943e+04
  5.22833801074191e+04 -1.92913030549733e+04  1.89660677539217e+04  1.87295380570480e+04 -1.95045792328227e+04
  5.22906250006377e+04 -1.92913030549733e+04  1.89660677539217e+04  1.87295380570480e+04 -1.95045792328227e+04
  5.22909791668705e+04 -1.92911639052254e+04  1.89663629726314e+04  1.87297548649169e+04 -1.95043976639117e+04
