  5.21309998712442e+04 -2.66201035927105e+04  2.43817397911417e+04 -2.67566959732601e+04  2.42375943063052e+04
  5.21334853602328e+04 -2.66196580671438e+04  2.43819214958245e+04 -2.67548627405747e+04  2.42390116516566e+04
  5.21359708491665e+04 -2.66194484151794e+04  2.43816835849068e+04 -2.67529111577809e+04  2.42409594804084e+04
  5.21384563382441e+04 -2.66197507261232e+04  2.43810462678527e+04 -2.67525270475328e+04  2.42413610204327e+04
  5.21409418273485e+04 -2.66197231333739e+04  2.43811273806885e+04 -2.67512964362832e+04  2.42419246439272e+04
  5.21434273164618e+04 -2.66196746772485e+04  2.43809641841553e+04 -2.67508838822119e+04  2.42425901622108e+04
  5.21459128054655e+04 -2.66203846666375e+04  2.43801824143315e+04 -2.67488981316193e+04  2.42443901124799e+04
  5.21483982941978e+04 -2.66203846666375e+04  2.43801824143315e+04 -2.67488981316193e+04  2.42443901124799e+04
  5.21508837829745e+04 -2.66203846666375e+04  2.43801824143315e+04 -2.67488981316193e+04  2.42443901124799e+04
  5.21533692710499e+04 -2.66202044165741e+04  2.43792859186682e+04 -2.67495419722368e+04  2.42438781544086e+04
  5.21558547593262e+04 -2.66207215832567e+04  2.43789449194937e+04 -2.67496186882590e+04  2.42444043377254e+04
  5.21583402480857e+04 -2.66209139154691e+04  2.43785499490385e+04 -2.67495141550907e+04  2.42443353837416e+04
  5.21608257388101e+04 -2.66210532735172e+04  2.43784516735315e+04 -2.67483351143275e+04  2.42453356794295e+04
  5.21633112280231e+04 -2.66216001287779e+04  2.43774590708760e+04 -2.67481834673586e+04  2.42452852534314e+04
  5.21666250008274e+04 -2.66216001287779e+04  2.43774590708760e+04 -2.67481834673586e+04  2.42452852534314e+04
  5.21673750002014e+04 -2.66220366495242e+04  2.43770791450109e+04 -2.67480436820844e+04  2.42450386722146e+04
  5.21698604893460e+04 -2.66229223656610e+04  2.43759102268424e+04 -2.67481306523923e+04  2.42448225364669e+04
  5.21723459805693e+04 -2.66227446896649e+04  2.43757873356779e+04 -2.67476023863897e+04  2.42456195363177e+04
  5.21748314702940e+04 -2.66227556783675e+04  2.43760245644868e+04 -2.67473933210779e+04  2.42457985433968e+04
  5.21773169601007e+04 -2.66227556783675e+04  2.43760245644868e+04 -2.67473933210779e+04  2.42457985433968e+04
  5.21798024514017e+04 -2.66239459581563e+04  2.43744796799312e+04 -2.67472522731768e+04  2.42458069779211e+04
  5.21822879414837e+04 -2.66244461821831e+04  2.43738941736402e+04 -2.67462861812499e+04  2.42468136235312e+04
  5.21847734316793e+04 -2.66251031778313e+04  2.43727988308553e+04 -2.67474975007084e+04  2.42454597362802e+04
  5.21872589219467e+04 -2.66254220211300e+04  2.43723592804838e+04 -2.67473567494042e+04  2.42454446480533e+04
